Id_hecho,Nro_victimas,Fecha,Anio,Mes,Dia,Hora,Lugar_hecho,Tipo_calle,Calle,Cruce,Comuna,Long_x,Lat_y,Participantes,Victima,Acusado,Rol,Sexo,Edad,Fecha_fallecimiento,Franja_horaria
2016-0041,2,2016-03-29,2016,Marzo,29,11,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,DIRECTORIO AV.,Con_cruce,7,-58.46076550,-34.63350444,MOTO-CARGAS,MOTO,CARGAS,PASAJERO_ACOMPAÑANTE,MASCULINO,42,2016-03-30,Mañana
2016-0043,1,2016-03-30,2016,Marzo,30,18,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",Con_cruce,8,-58.47832463,-34.67494416,PEATON-CARGAS,PEATON,CARGAS,PEATON,FEMENINO,56,2016-03-30,Noche
2016-0044,1,2016-03-31,2016,Marzo,31,19,AV JOSE MARIA MORENO Y BALBASTRO,AVENIDA,"MORENO, JOSE MARIA AV.",Con_cruce,7,-58.43213235,-34.63693953,MULTIPLE,MOTO,MULTIPLE,CONDUCTOR,MASCULINO,24,2016-03-31,Noche
2016-0045,1,2016-04-11,2016,Abril,11,10,AV GRAL PAZ Y AV DEL LIBERTADOR,AUTOPISTA,"PAZ, GRAL. AV.",Con_cruce,13,-58.46743471,-34.53476874,MOTO-SD,MOTO,No_data,CONDUCTOR,MASCULINO,42,2000-01-01,Mañana
2016-0047,1,2016-04-15,2016,Abril,15,5,LIMA 1483,CALLE,LIMA,Sin_cruce,1,-58.38247061,-34.62571878,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,41,2016-04-15,Madrugada
2016-0048,1,2016-04-15,2016,Abril,15,17,AV. CORRIENTES Y AV. DORREGO,AVENIDA,CORRIENTES AV.,Con_cruce,15,-58.44759966,-34.59170240,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,42,2000-01-01,Tarde
2016-0049,1,2016-04-17,2016,Abril,17,0,"AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 0,700",AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Sin_cruce,4,-58.37714647568196,-34.63657525428238,SD-SD,No_data,No_data,No_data,MASCULINO,42,2000-01-01,Madrugada
2016-0050,1,2016-04-19,2016,Abril,19,9,TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ,AVENIDA,"GORDILLO, TIMOTEO",Con_cruce,8,-58.47305463,-34.68550712,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,78,2016-04-19,Mañana
2016-0051,1,2016-04-20,2016,Abril,20,4,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.",Con_cruce,4,-58.40623949,-34.65076549,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,36,2016-04-20,Madrugada
2016-0053,1,2016-04-22,2016,Abril,22,9,AV TRIUNVIRATO Y AV OLAZABAL,AVENIDA,TRIUNVIRATO AV.,Con_cruce,12,-58.48429180,-34.57558053,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,38,2016-04-22,Mañana
